x Curve1
0.0202374 0.134206
0.0446066 0.152753
0.0659368 0.168201
0.0933737 0.186722
0.114704 0.202169
0.139073 0.220716
0.1635 0.233013
0.187869 0.251559
0.212267 0.266981
0.236665 0.282403
0.257966 0.300975
0.282364 0.316397
0.306762 0.331819
0.331132 0.350366
0.35553 0.365787
0.376889 0.378109
0.401229 0.399781
0.425656 0.412078
0.450025 0.430625
0.471355 0.446072
0.495753 0.461494
0.517083 0.476941
0.541481 0.492363
0.565879 0.507784
0.596441 0.52003
0.6178 0.532352
0.645266 0.547748
0.675886 0.553743
0.703409 0.562888
0.734057 0.565758
0.764735 0.565502
0.795441 0.562121
0.823136 0.552516
0.847822 0.536685
0.872536 0.517729
0.897279 0.495648
0.915916 0.470492
0.934552 0.445337
0.950121 0.420207
0.965689 0.395078
0.975151 0.366874
0.990749 0.338619
1.00021 0.310415
1.01274 0.282185
1.02223 0.250856
1.03169 0.222653
1.04116 0.194449
1.04758 0.163145
1.05704 0.134941
1.06343 0.106763
1.07625 0.0472812
1.08875 0.0221771
1.10429 0.000172559
1.13497 -8.30841e-05
1.16565 -0.000338727
1.19632 -0.000594371
1.227 -0.000850014
1.25768 -0.00110566
1.28836 -0.0013613
1.31903 -0.00161694
1.34971 -0.00187259
1.38039 -0.00212823
