x Curve1
0.0277539 0.00524865
0.0586834 0.00513838
0.089613 0.00502812
0.120543 0.00491785
0.151472 0.00480759
0.182402 0.00469732
0.213331 0.00458705
0.244261 0.00447679
0.27519 0.00436652
0.30612 0.00425626
0.333874 0.00950491
0.339687 0.0335484
0.341953 0.0870162
0.342367 0.0602768
0.345782 0.239409
0.347635 0.319616
0.348048 0.292877
0.348462 0.266137
0.349074 0.426563
0.349487 0.399824
0.349901 0.373084
0.350314 0.346345
0.350554 0.530836
0.350968 0.504096
0.351381 0.477357
0.351795 0.450617
0.352407 0.611043
0.352572 0.600347
0.35282 0.584304
0.353234 0.557564
0.35913 0.57626
0.359543 0.54952
0.36305 0.52277
0.363463 0.49603
0.363877 0.469291
0.367383 0.442541
0.367797 0.415801
0.36821 0.389062
0.368624 0.362322
0.369037 0.335583
0.372544 0.308832
0.372957 0.282093
0.373371 0.255353
0.373784 0.228614
0.377291 0.201863
0.385544 0.0681442
0.389051 0.0413938
0.392557 0.0146433
0.417466 0.0038593
0.448396 0.00374904
0.479325 0.00363877
0.510255 0.0035285
0.541184 0.00341824
0.572114 0.00330797
0.603043 0.00319771
0.633973 0.00308744
0.664902 0.00297717
0.695832 0.00286691
0.707956 0.0188665
0.716904 0.0402249
0.726472 0.0214743
0.73604 0.00272356
0.76697 0.0026133
0.797899 0.00250303
0.828829 0.00239277
0.859759 0.0022825
0.890688 0.00217224
0.921618 0.00206197
0.952547 0.0019517
0.983477 0.00184144
1.01441 0.00173117
1.04534 0.00162091
1.05746 0.0176205
1.05973 0.0710883
1.06014 0.0443489
1.0624 0.0978167
1.07164 0.100458
1.07515 0.0737071
1.07861 0.0496306
1.08212 0.0228801
1.08864 0.00146653
1.11957 0.00135627
1.1505 0.001246
1.18143 0.00113574
1.21236 0.00102547
1.24328 0.000915206
1.27421 0.00080494
1.30514 0.000694674
1.33607 0.000584408
1.367 0.000474143
1.39793 0.000363877
