x Curve1
0.0232108 0.510644
0.0497477 0.521263
0.0762486 0.537288
0.102768 0.550611
0.125978 0.561254
0.16902 0.590674
0.198883 0.601269
0.222076 0.614616
0.248595 0.627938
0.275114 0.64126
0.324753 0.678741
0.351344 0.681252
0.377845 0.697277
0.401038 0.710623
0.427539 0.726648
0.477197 0.761426
0.50706 0.772021
0.533579 0.785344
0.560098 0.798666
0.58329 0.812012
0.609809 0.825335
0.636346 0.835954
0.662847 0.851979
0.689384 0.862599
0.719247 0.873195
0.749092 0.886493
0.778973 0.894386
0.808854 0.902279
0.842079 0.907444
0.871978 0.912634
0.905239 0.912395
0.93521 0.906773
0.965199 0.898449
0.995242 0.882016
1.01863 0.865631
1.04206 0.843841
1.05883 0.822099
1.07893 0.800332
1.0924 0.775911
1.10587 0.751489
1.11601 0.727092
1.12615 0.702694
1.13963 0.67557
1.14643 0.6539
1.15658 0.626799
1.16674 0.599699
1.17356 0.575326
1.18039 0.548249
1.19053 0.523852
1.19734 0.499479
1.20417 0.472402
1.21101 0.445326
1.21782 0.420953
1.22465 0.393876
1.23147 0.369503
1.23497 0.342451
1.24179 0.318077
1.24862 0.291001
1.25212 0.263949
1.25896 0.236872
1.26244 0.212523
1.26928 0.185447
1.27609 0.161073
1.2796 0.134021
1.2831 0.106969
1.2934 0.0582457
1.30022 0.0338723
1.31036 0.0094749
1.3304 -0.0041831
1.36367 -0.00442282
