MeV	keV	IntCoherent	IntCompton	IntPhoto	IntPair	TransferCompton	TransferPhoto	TransferPair	EnergyLoss
0.010	10	4.5	3.1	92.4	0.0	0.1	99.9	0.0	0.0
0.015	15	8.5	10.8	80.7	0.0	0.4	99.6	0.0	0.0
0.020	20	11.6	23.3	65.1	0.0	1.3	99.6	0.0	0.0
0.030	30	13.0	50.7	36.3	0.0	6.8	93.2	0.0	0.0
0.040	40	11.0	69.6	19.4	0.0	19.3	80.7	0.0	0.0
0.050	50	8.6	80.4	11.0	0.0	37.2	62.8	0.0	0.0
0.060	60	6.8	86.6	6.6	0.0	55.0	45.0	0.0	0.0
0.080	80	4.5	92.6	2.9	0.0	78.8	21.2	0.0	0.0
0.100	100	3.1	95.3	1.5	0.0	89.6	10.4	0.0	0.0
0.150	150	1.6	97.9	0.5	0.0	97.4	2.0	0.0	0.0
0.200	200	1.0	98.8	0.2	0.0	99.0	1.0	0.0	0.0
0.300	300	0.5	99.4	0.1	0.0	99.7	0.3	0.0	0.1
0.400	400	0.4	99.6	0.0	0.0	99.9	0.1	0.0	0.1
0.500	500	0.3	99.7	0.0	0.0	99.9	0.1	0.0	0.1
0.600	600	0.2	99.8	0.0	0.0	100.0	0.0	0.0	0.1
0.800	800	0.1	99.9	0.0	0.0	100.0	0.0	0.0	0.2
1.000	1000	0.1	99.9	0.0	0.0	100.0	0.0	0.0	0.2
1.500	1500	0.0	99.8	0.0	0.2	99.9	0.0	0.1	0.4
2.000	2000	0.0	99.2	0.0	0.8	99.3	0.0	0.7	0.5
3.000	3000	0.0	97.1	0.0	2.9	96.7	0.0	3.3	0.8
4.000	4000	0.0	94.5	0.0	5.5	93.3	0.0	6.7	1.1
5.000	5000	0.0	91.6	0.0	8.4	89.6	0.0	10.4	1.4
6.000	6000	0.0	88.9	0.0	11.1	86.2	0.0	13.8	1.6
8.000	8000	0.0	83.1	0.0	16.9	79.0	0.0	21.0	2.3
10.000	10000	0.0	77.0	0.0	23.0	71.9	0.0	28.1	2.9
15.000	15000	0.0	65.6	0.0	34.4	59.3	0.0	40.7	4.6
20.000	20000	0.0	56.0	0.0	44.0	49.3	0.0	50.7	6.5
30.000	30000	0.0	43.2	0.0	56.8	37.1	0.0	62.9	10.0
40.000	40000	0.0	35.1	0.0	64.9	29.7	0.0	70.3	13.6
50.000	50000	0.0	29.3	0.0	70.7	24.6	0.0	75.4	16.8
60.000	60000	0.0	25.3	0.0	74.7	21.1	0.0	78.9	19.8
80.000	80000	0.0	19.7	0.0	80.3	16.4	0.0	83.6	25.3
100.000	100000	0.0	16.0	0.0	84.0	13.3	0.0	86.7	30.1
									
									
									
									
									
									
									
									
									
									
									
									
									
									
			
