MeV	keV	IntCoherent	IntCompton	IntPhoto	IntPair	TransferCompton	TransferPhoto	TransferPair	EnergyLoss
0.010	10	4.5	3.1	92.4	0.0	0.1	99.9	0.0	0.0
0.015	15	8.5	10.8	80.7	0.0	0.4	99.6	0.0	0.0
0.020	20	11.6	23.3	65.1	0.0	1.3	99.6	0.0	0.0
0.030	30	13.0	50.7	36.3	0.0	6.8	93.2	0.0	0.0
0.040	40	11.0	69.6	19.4	0.0	19.3	80.7	0.0	0.0
0.050	50	8.6	80.4	11.0	0.0	37.2	62.8	0.0	0.0
0.060	60	6.8	86.6	6.6	0.0	55.0	45.0	0.0	0.0
0.080	80	4.5	92.6	2.9	0.0	78.8	21.2	0.0	0.0
0.100	100	3.1	95.3	1.5	0.0	89.6	10.4	0.0	0.0
0.150	150	1.6	97.9	0.5	0.0	97.4	2.0	0.0	0.0
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
			
