XCOM:
Constituents (Atomic Number : Fraction by Weight)

 Z=13	: 0.227263
 Z=39	: 0.449308
 Z=8	: 0.323428

       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
                                             FIELD    FIELD    SCATT.   SCATT.
        (MeV)    (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)

       1.000E-03 3.86E+00 9.77E-03 3.49E+03 0.00E+00 0.00E+00 3.49E+03 3.49E+03
       1.500E-03 3.59E+00 1.75E-02 1.26E+03 0.00E+00 0.00E+00 1.26E+03 1.26E+03
       1.560E-03 3.56E+00 1.84E-02 1.14E+03 0.00E+00 0.00E+00 1.14E+03 1.14E+03

 13 K  1.560E-03 3.56E+00 1.84E-02 1.96E+03 0.00E+00 0.00E+00 1.96E+03 1.96E+03
       2.000E-03 3.32E+00 2.51E-02 1.07E+03 0.00E+00 0.00E+00 1.07E+03 1.07E+03
       2.080E-03 3.28E+00 2.63E-02 9.68E+02 0.00E+00 0.00E+00 9.72E+02 9.68E+02

 39 L3 2.080E-03 3.28E+00 2.63E-02 1.85E+03 0.00E+00 0.00E+00 1.85E+03 1.85E+03
       2.117E-03 3.26E+00 2.68E-02 1.75E+03 0.00E+00 0.00E+00 1.75E+03 1.75E+03
       2.155E-03 3.24E+00 2.74E-02 1.66E+03 0.00E+00 0.00E+00 1.66E+03 1.66E+03

 39 L2 2.155E-03 3.24E+00 2.74E-02 2.07E+03 0.00E+00 0.00E+00 2.08E+03 2.07E+03
       2.261E-03 3.18E+00 2.90E-02 1.84E+03 0.00E+00 0.00E+00 1.85E+03 1.84E+03
       2.373E-03 3.13E+00 3.06E-02 1.64E+03 0.00E+00 0.00E+00 1.64E+03 1.64E+03

 39 L1 2.373E-03 3.13E+00 3.06E-02 1.80E+03 0.00E+00 0.00E+00 1.80E+03 1.80E+03
       3.000E-03 2.84E+00 3.94E-02 9.90E+02 0.00E+00 0.00E+00 9.93E+02 9.90E+02
       4.000E-03 2.43E+00 5.19E-02 4.66E+02 0.00E+00 0.00E+00 4.69E+02 4.66E+02
       5.000E-03 2.10E+00 6.27E-02 2.56E+02 0.00E+00 0.00E+00 2.58E+02 2.56E+02
       6.000E-03 1.84E+00 7.19E-02 1.56E+02 0.00E+00 0.00E+00 1.58E+02 1.56E+02
       8.000E-03 1.44E+00 8.62E-02 7.02E+01 0.00E+00 0.00E+00 7.17E+01 7.03E+01
       1.000E-02 1.15E+00 9.67E-02 3.75E+01 0.00E+00 0.00E+00 3.88E+01 3.76E+01
       1.500E-02 7.07E-01 1.14E-01 1.18E+01 0.00E+00 0.00E+00 1.26E+01 1.19E+01
       1.704E-02 5.97E-01 1.19E-01 8.19E+00 0.00E+00 0.00E+00 8.91E+00 8.31E+00

 39 K  1.704E-02 5.97E-01 1.19E-01 4.72E+01 0.00E+00 0.00E+00 4.79E+01 4.73E+01
       2.000E-02 4.78E-01 1.25E-01 3.13E+01 0.00E+00 0.00E+00 3.19E+01 3.14E+01
       3.000E-02 2.68E-01 1.35E-01 1.04E+01 0.00E+00 0.00E+00 1.09E+01 1.06E+01
       4.000E-02 1.72E-01 1.39E-01 4.68E+00 0.00E+00 0.00E+00 5.00E+00 4.82E+00
       5.000E-02 1.20E-01 1.40E-01 2.48E+00 0.00E+00 0.00E+00 2.74E+00 2.62E+00
       6.000E-02 8.77E-02 1.40E-01 1.47E+00 0.00E+00 0.00E+00 1.69E+00 1.61E+00
       8.000E-02 5.32E-02 1.36E-01 6.33E-01 0.00E+00 0.00E+00 8.22E-01 7.69E-01
       1.000E-01 3.59E-02 1.32E-01 3.27E-01 0.00E+00 0.00E+00 4.95E-01 4.60E-01
       1.500E-01 1.72E-02 1.21E-01 9.82E-02 0.00E+00 0.00E+00 2.37E-01 2.20E-01
       2.000E-01 1.00E-02 1.12E-01 4.19E-02 0.00E+00 0.00E+00 1.64E-01 1.54E-01
       3.000E-01 4.61E-03 9.86E-02 1.30E-02 0.00E+00 0.00E+00 1.16E-01 1.12E-01
       4.000E-01 2.64E-03 8.87E-02 5.84E-03 0.00E+00 0.00E+00 9.72E-02 9.46E-02
       5.000E-01 1.70E-03 8.12E-02 3.25E-03 0.00E+00 0.00E+00 8.61E-02 8.44E-02
       6.000E-01 1.19E-03 7.52E-02 2.06E-03 0.00E+00 0.00E+00 7.84E-02 7.73E-02
       8.000E-01 6.73E-04 6.62E-02 1.06E-03 0.00E+00 0.00E+00 6.79E-02 6.72E-02
       1.000E+00 4.32E-04 5.95E-02 6.59E-04 0.00E+00 0.00E+00 6.06E-02 6.02E-02
       1.022E+00 4.14E-04 5.89E-02 6.27E-04 0.00E+00 0.00E+00 5.99E-02 5.95E-02
       1.250E+00 2.77E-04 5.32E-02 4.23E-04 6.70E-05 0.00E+00 5.40E-02 5.37E-02
       1.500E+00 1.93E-04 4.84E-02 3.04E-04 3.32E-04 0.00E+00 4.92E-02 4.90E-02
       2.000E+00 1.08E-04 4.13E-02 1.86E-04 1.22E-03 0.00E+00 4.28E-02 4.27E-02
       2.044E+00 1.04E-04 4.08E-02 1.80E-04 1.31E-03 0.00E+00 4.24E-02 4.23E-02
